Date,Value
2015-04-03,1958133.00281
2015-04-02,2073907.99848
2015-04-01,1486479.40929
2015-03-31,1931577.51714
2015-03-30,2020679.42757
2015-03-29,1394413.52362
2015-03-28,1454108.68409
2015-03-27,1762548.20045
2015-03-26,1879171.37886
2015-03-25,3800537.26941
2015-03-24,4563612.29464
2015-03-23,2600779.00588
2015-03-22,739422.59969
2015-03-21,1199329.84025
2015-03-20,2211571.49314
2015-03-19,5077345.21753
2015-03-18,3990297.82661
2015-03-17,1638629.86702
2015-03-16,1924370.48565
2015-03-15,696621.676054
2015-03-14,1667974.39353
2015-03-13,2829325.0313
2015-03-12,2264480.10284
2015-03-11,2017351.32252
2015-03-10,4541544.01607
2015-03-09,2624649.30032
2015-03-08,1598282.26372
2015-03-07,1278948.67358
2015-03-06,2790042.68953
2015-03-05,3247071.61518
2015-03-04,4175486.61184
2015-03-03,6322638.0752
2015-03-02,4190275.83929
2015-03-01,1166508.16387
2015-02-28,1809685.33129
2015-02-27,5142151.57568
2015-02-26,1306098.48278
2015-02-25,1091100.6777
2015-02-24,1422548.45874
2015-02-23,1489492.04474
2015-02-22,1342658.74001
2015-02-21,948087.452809
2015-02-20,2844072.14626
2015-02-19,1863197.01722
2015-02-18,3259977.94613
2015-02-17,2923405.96575
2015-02-16,4051377.60587
2015-02-15,7200685.85011
2015-02-14,3932517.32376
2015-02-13,4783505.35051
2015-02-12,1667205.47753
2015-02-11,2290977.89738
2015-02-10,2058429.79781
2015-02-09,3550609.45892
2015-02-08,3802427.60443
2015-02-07,1614452.68542
2015-02-06,2428434.54273
2015-02-05,3103400.58243
2015-02-04,4041719.03888
2015-02-03,4094181.67555
2015-02-02,3867133.97478
2015-02-01,4223952.11758
2015-01-31,3253319.91742
2015-01-30,5417548.37787
2015-01-29,7780990.20221
2015-01-28,3953455.43359
2015-01-27,6818344.42184
2015-01-26,15302136.4088
2015-01-25,6624843.33167
2015-01-24,2839467.84661
2015-01-23,3662928.21224
2015-01-22,7856570.19498
2015-01-21,2988445.53744
2015-01-20,3255763.95522
2015-01-19,2677624.61068
2015-01-18,3721863.95464
2015-01-17,4567169.46396
2015-01-16,10063648.1721
2015-01-15,19804382.7349
2015-01-14,20003943.7875
2015-01-13,10679959.7884
2015-01-12,3371922.79854
2015-01-11,2847004.61346
2015-01-10,10206899.6655
2015-01-09,10769340.8267
2015-01-08,10769340.8267
2015-01-07,10769340.8267
2015-01-06,10769340.8267
2015-01-05,10769340.8267
2015-01-04,11849100.4031
2015-01-03,3629503.46062
2015-01-02,1016669.63239
2015-01-01,1546927.09344
2014-12-31,2366224.10143
2014-12-30,2454059.74892
2014-12-29,1612460.87217
2014-12-28,1789810.03335
2014-12-27,2924530.55196
2014-12-26,1370436.1764
2014-12-25,1506598.71847
2014-12-24,2076350.07563
2014-12-23,2639069.77984
2014-12-22,3999684.2719
2014-12-21,2065043.55872
2014-12-20,4201699.02725
2014-12-19,5278321.87497
2014-12-18,7102865.20575
2014-12-17,7045461.436
2014-12-16,5806208.80179
2014-12-15,2792637.41903
2014-12-14,1445863.6775
2014-12-13,2120593.00165
2014-12-12,2743962.42529
2014-12-11,5803133.70167
2014-12-10,2043127.04209
2014-12-09,7768458.04875
2014-12-08,3089535.8233
2014-12-07,891903.195019
2014-12-06,1743444.3763
2014-12-05,2895748.42745
2014-12-04,4490174.35686
2014-12-03,3147124.92429
2014-12-02,2688428.19111
2014-12-01,2142298.70436
2014-11-30,1378610.32536
2014-11-29,3675373.63947
2014-11-28,4143427.00538
2014-11-27,3447448.61422
2014-11-26,4289865.23807
2014-11-25,7808526.35023
2014-11-24,6048700.44245
2014-11-23,1909531.38511
2014-11-22,2498648.3882
2014-11-21,5580672.78977
2014-11-20,5695435.05769
2014-11-19,4134954.04644
2014-11-18,6157877.81472
2014-11-17,8319084.81748
2014-11-16,4219656.24606
2014-11-15,5008203.5411
2014-11-14,14005578.1224
2014-11-13,19558835.401
2014-11-12,13701896.4048
2014-11-11,3730304.51545
2014-11-10,7095171.62138
2014-11-09,3014861.33218
2014-11-08,1077208.90481
2014-11-07,3681058.27495
2014-11-06,4520802.11388
2014-11-05,4919218.31301
2014-11-04,4549999.06773
2014-11-03,3473706.22694
2014-11-02,3637782.51784
2014-11-01,3981304.06333
2014-10-31,4354922.07295
2014-10-30,3671261.96546
2014-10-29,4210924.88205
2014-10-28,2622826.72902
2014-10-27,2725857.57438
2014-10-26,2890240.63227
2014-10-25,3913031.76149
2014-10-24,6960388.60476
2014-10-23,6378388.1246
2014-10-22,3342809.09884
2014-10-21,3184745.49403
2014-10-20,4094610.97299
2014-10-19,1463419.63554
2014-10-18,3032030.32944
2014-10-17,5953062.27796
2014-10-16,6974276.30531
2014-10-15,8751642.32427
2014-10-14,12614893.7489
2014-10-13,8081594.46526
2014-10-12,3761063.58338
2014-10-11,3618894.28536
2014-10-10,11248182.1326
2014-10-09,15131487.586
2014-10-08,9273578.80299
2014-10-07,8268087.29187
2014-10-06,28089071.5319
2014-10-05,14715813.3623
2014-10-04,9352563.97651
2014-10-03,5568420.73926
2014-10-02,3450003.57193
2014-10-01,7052814.38239
2014-09-30,5461742.9261
2014-09-29,7778308.24158
2014-09-28,3971546.27508
2014-09-27,2409099.75791
2014-09-26,4146170.29836
2014-09-25,6189931.28865
2014-09-24,12703948.8531
2014-09-23,5500695.6971
2014-09-22,4898291.21151
2014-09-21,5180652.93045
2014-09-20,8717319.11537
2014-09-19,13959017.8116
2014-09-18,6474529.07013
2014-09-17,5007061.59407
2014-09-16,2796018.21974
2014-09-15,2524429.50586
2014-09-14,1850051.20916
2014-09-13,2844690.84922
2014-09-12,3468571.79262
2014-09-11,4074503.78039
2014-09-10,6346407.79646
2014-09-09,3335590.91601
2014-09-08,6226048.98435
2014-09-07,1387220.61562
2014-09-06,1606067.5125
2014-09-05,5118483.65167
2014-09-04,5008741.25569
2014-09-03,2489654.96886
2014-09-02,3493402.36963
2014-09-01,4469424.45419
2014-08-31,4680272.99326
2014-08-30,2341133.76462
2014-08-29,3752062.19862
2014-08-28,4062969.75669
2014-08-27,3748502.0828
2014-08-26,3517602.57052
2014-08-25,2916764.29378
2014-08-24,3707719.62742
2014-08-23,4840024.88406
2014-08-22,8286029.15529
2014-08-21,8433115.22164
2014-08-20,8069204.96225
2014-08-19,8989449.07859
2014-08-18,12555610.8492
2014-08-17,6020978.09221
2014-08-16,6187407.02583
2014-08-15,8298506.79055
2014-08-14,12855082.6947
2014-08-13,13355520.1831
2014-08-12,4574834.83924
2014-08-11,2371659.34951
2014-08-10,1745276.30999
2014-08-09,1171969.14037
2014-08-08,2961285.4482
2014-08-07,3166937.84489
2014-08-06,4620012.30634
2014-08-05,4052712.00992
2014-08-04,2323087.95911
2014-08-03,1719802.61778
2014-08-02,2711525.26632
2014-08-01,7216949.14115
2014-07-31,6917701.92177
